iter	RMSE
214	0.3603802038
215	0.3603317272
216	0.3603038143
217	0.3602550346
218	0.3602145752
219	0.3601182268
220	0.3600432615
221	0.3599602526
222	0.3599044823
223	0.3598628026
224	0.3598252944
225	0.3597809374
226	0.3596828764
227	0.3595877857
228	0.3595327159
229	0.3594684665
230	0.3594201914
231	0.3593511328
232	0.3592677286
233	0.3592037695
234	0.3591658851
235	0.3591157531
236	0.3590456823
237	0.3589950238
238	0.3589492574
239	0.3588798011
240	0.3588321881
241	0.358759537
242	0.358706656
243	0.3586266909
244	0.35857162
245	0.3585278819
246	0.3584834456
247	0.3584138509
248	0.358372106
249	0.3583174371
250	0.358250579
251	0.3582014421
252	0.3581563474
253	0.3580952218
254	0.3580213621
255	0.3579194967
256	0.3578428719
257	0.3578048561
258	0.3577310849
259	0.3576872471
260	0.3576182043
261	0.3575709148
262	0.3575055834
263	0.3574533997
264	0.3574336073
265	0.3573204087
266	0.3572421903
267	0.3572249156
268	0.3571795847
269	0.3570986288
270	0.357065829
271	0.3570009027
272	0.3569145591
273	0.3568702999
274	0.3568196691
275	0.356759723
276	0.3567155349
277	0.356660246
278	0.3565996752
279	0.3565394081
280	0.3565023054
281	0.3564197405
282	0.3563455392
283	0.356286294
284	0.3562240289
285	0.3561604011
286	0.3560934602
287	0.356023813
288	0.3559618837
289	0.3558990497
290	0.3558506211
291	0.3558250425
292	0.3557369178
293	0.355681057
294	0.3556405911
295	0.3555795836
296	0.3555086666
297	0.3554620644
298	0.3554383915
299	0.3554085701
300	0.3553647079
301	0.355306984
302	0.3552818222
303	0.3552259217
304	0.3552025383
305	0.3551893078
306	0.3551443996
307	0.3551009546
308	0.3550450689
309	0.354977761
310	0.3549275617
311	0.3548605554
312	0.3547895604
313	0.3547207499
314	0.354673111
315	0.354603637
316	0.3545629932
317	0.3545055061
318	0.354442874
319	0.3543820283
320	0.3543134471
321	0.3542293403
322	0.3541853883
323	0.3541458292
324	0.3540843492
325	0.3539905353
326	0.3539391751
327	0.3538815662
328	0.353839586
329	0.353807301
330	0.3537731523
331	0.353728135
332	0.3536892281
333	0.3536283591
334	0.3535925306
335	0.3535493305
336	0.3534784434
337	0.3534472727
338	0.3534071181
339	0.3533784808
340	0.3533364258
341	0.3532948688
342	0.3532224131
343	0.353143754
344	0.3530881492
345	0.3530324932
346	0.3529667861
347	0.3529236904
348	0.3528630305
349	0.3528348144
350	0.3528017619
351	0.3527414525
352	0.3527040571
353	0.3526397417
354	0.352575413
355	0.3525087808
356	0.3524728564
357	0.3524303942
358	0.3523813509
359	0.3523454679
360	0.3522812632
361	0.3522265852
362	0.3521952473
363	0.3521416693
364	0.3520960484
365	0.3520640143
366	0.3520173518
367	0.351947913
368	0.3519203742
369	0.3518676302
370	0.3518134801
371	0.3517753281
372	0.351718648
373	0.3516417331
374	0.3515877704
375	0.3515477477
376	0.3514935531
377	0.351451445
378	0.3513973288
379	0.3513361467
380	0.3512791006
381	0.3512532001
382	0.3512144433
383	0.351147147
384	0.3510764363
385	0.351035982
386	0.3509800091
387	0.3509121654
388	0.3508325701
389	0.3507518326
390	0.3506775585
391	0.3506330272
392	0.3505440477
393	0.3504776803
394	0.350436127
395	0.3504031237
396	0.3503384885
397	0.3502826399
398	0.3502447608
399	0.3502260007
400	0.3501938714
401	0.3501704722
402	0.3501277426
403	0.3500775578
404	0.3500383846
405	0.3499499815
406	0.3499088147
407	0.3498488564
408	0.3497708682
409	0.3497459251
410	0.3497099291
411	0.3496364701
412	0.3495682498
413	0.3495214057
414	0.3494869594
415	0.349437009
416	0.3493897117
417	0.3493381224
418	0.3492913222
419	0.3492149742
420	0.3491581289
421	0.3490969272
422	0.3490473936
423	0.3489880737
424	0.3489410783
425	0.3488809149
426	0.3488435506
427	0.3487937904
428	0.3487466677
429	0.3486625651
430	0.3486038844
431	0.3485953753
432	0.3485338841
433	0.3484583768
434	0.3483973756
435	0.3483493416
436	0.3483110183
437	0.3482164595
438	0.348169763
439	0.3481044582
440	0.3480431213
441	0.3479920995
442	0.3479360229
443	0.3478830351
444	0.3478245402
445	0.3478132979
446	0.3477631326
447	0.3477215527
448	0.3476792271
449	0.3476334484
450	0.3475674213
451	0.3475262034
452	0.3474915732
453	0.3474506584
454	0.3474027378
455	0.3473823263
456	0.3473309496
457	0.3472734415
458	0.3472182835
459	0.3471551407
460	0.34708304
461	0.3470322979
462	0.3469832029
463	0.3469121812
464	0.3468495308
465	0.3467883289
466	0.3467367868
467	0.3466477658
468	0.3466189936
469	0.3465857701
470	0.3465334938
471	0.3464920428
472	0.3464317011
473	0.3463783073
474	0.3463452312
475	0.3462897003
476	0.3462550492
477	0.3462233184
478	0.3461572339
479	0.3461198119
480	0.3460590326
481	0.3460058434
482	0.3459709714
483	0.3459445869
484	0.3458975438
485	0.3458468284
486	0.3457915179
487	0.3457438031
488	0.3456846603
489	0.3456264298
490	0.3455728331
491	0.3455431142
492	0.3454884961
493	0.345420752
494	0.3453622321
495	0.3453176712
496	0.3452688964
497	0.3452259863
498	0.3451763465
499	0.3451025625
500	0.3450477341
501	0.3449613274
502	0.344915232
503	0.3448680751
504	0.3448226425
505	0.3447576172
506	0.3447087106
507	0.3446437362
508	0.3445802621
509	0.3445118894
510	0.3444710751
511	0.3444048591
512	0.3443632118
513	0.3443331923
514	0.3442732517
515	0.3442515597
516	0.3442096387
517	0.3441654277
518	0.344140981
519	0.3440916665
520	0.3440355705
521	0.343976808
522	0.3439380414
523	0.3439016282
524	0.3438750949
525	0.3438130864
526	0.3437722939
527	0.3437186832
528	0.3436546162
529	0.3435958574
530	0.3435684351
531	0.3435404464
532	0.3434967226
533	0.343439022
534	0.3433988446
535	0.3433481086
536	0.3432998056
537	0.3432761984
538	0.3432237172
539	0.3431570954
540	0.3431146128
541	0.3430727254
542	0.3430282495
543	0.3429906212
544	0.3429729769
545	0.3429456489
546	0.3429135068
547	0.3428484757
548	0.3428049781
549	0.342773789
550	0.3427222772
551	0.3426691837
552	0.3426151112
553	0.342591846
554	0.3425652714
555	0.3424870321
556	0.3424559608
557	0.3423882705
558	0.3423568116
559	0.3423127645
560	0.3422410071
561	0.3421993505
562	0.3421598685
563	0.3421267256
564	0.3420798862
565	0.3420448454
566	0.3420123751
567	0.341968272
568	0.3419310533
569	0.3418786936
570	0.3418430244
571	0.3417774237
572	0.3417349557
573	0.3416832105
574	0.3416254689
575	0.3415888639
576	0.3415366078
577	0.3415136589
578	0.3414822074
579	0.3414627474
580	0.3414350024
581	0.3414082059
582	0.3413646075
583	0.341301063
584	0.3412323381
585	0.3411919915
586	0.3411558513
587	0.3410990648
588	0.341032737
589	0.3409928914
590	0.3409555692
591	0.3409218356
592	0.3408789868
593	0.3408318026
594	0.3407801105
595	0.340747756
596	0.3407180621
597	0.3406625892
598	0.3406310765
599	0.3405786924
600	0.3405283702
601	0.3404704951
602	0.3404488618
603	0.3404105795
604	0.3403777215
605	0.3403313405
606	0.3403051363
607	0.3402751901
608	0.3402524574
609	0.340222597
610	0.3401812376
611	0.3401474609
612	0.3401279273
613	0.3400847814
614	0.3400185036
615	0.3399533207
616	0.3399028181
617	0.3398756979
618	0.3398257995
619	0.339787354
620	0.3397524118
621	0.3396895158
622	0.3396337945
623	0.3396142233
624	0.3395657491
625	0.3395021372
626	0.3394719634
627	0.3394480924
628	0.3394100946
629	0.3393793165
630	0.3393452472
631	0.3393063138
632	0.3392706935
633	0.3392161221
634	0.3391887881
635	0.3391456026
636	0.339116683
637	0.3390604436
638	0.3390248101
639	0.3389827924
640	0.3389438561
641	0.3389162605
642	0.3388716147
643	0.3388426569
644	0.3387946087
645	0.3387531188
646	0.3387015129
647	0.3386324144
648	0.3386165198
649	0.3385762329
650	0.3385303309
651	0.338473867
652	0.3384140388
653	0.3383773256
654	0.3383503473
655	0.3382926369
656	0.3382415984
657	0.3381861973
658	0.3381582506
659	0.3381286677
660	0.3380983614
661	0.338072607
662	0.3380419733
663	0.3380002582
664	0.3379680207
665	0.3379226595
666	0.3378686494
667	0.3378372536
668	0.337814677
669	0.3377634656
670	0.3377250908
671	0.337689717
672	0.3376658668
673	0.337592021
674	0.3375382545
675	0.3374803126
676	0.3374526785
677	0.3373981496
678	0.3373562796
679	0.3372845397
680	0.3372326138
681	0.3372184017
682	0.3372005101
683	0.3371720565
684	0.3371325618
685	0.3370797236
686	0.3370487596
687	0.3370172613
688	0.3369903916
689	0.3369283237
690	0.3368817948
691	0.3368194244
692	0.3367736997
693	0.3367473272
694	0.3367024998
695	0.3366857318
696	0.3366484677
697	0.336632194
698	0.336593923
699	0.3365468423
700	0.3365067928
701	0.3364533269
702	0.3364223342
703	0.3363834866
704	0.3363415745
705	0.3363053179
706	0.3362516571
707	0.3362192087
708	0.3361919092
709	0.3361293197
710	0.3361131658
711	0.336068629
712	0.3360214779
713	0.33599053
714	0.3359583782
715	0.3359271405
716	0.3359120594
717	0.3358873039
718	0.3358325534
719	0.3357979395
720	0.3357245448
721	0.3356928107
722	0.335664225
723	0.3356189198
724	0.3355562799
725	0.3355304596
726	0.3354500289
727	0.3354316298
728	0.3353940221
729	0.3353700363
730	0.3353218006
731	0.3352598312
732	0.3352344855
733	0.3351746218
734	0.3351434025
735	0.3351125866
736	0.3350683267
737	0.3350018094
738	0.3349796471
739	0.3349294868
740	0.3349115599
741	0.3348590781
742	0.3348389287
743	0.334794456
744	0.3347654218
745	0.3347217524
746	0.3346614991
747	0.3346241798
748	0.3345825812
749	0.3345186319
750	0.3344863179
751	0.3344281104
752	0.3343989627
753	0.334364606
754	0.3343366248
755	0.3342686586
756	0.3342273922
757	0.3341676864
758	0.3341378776
759	0.334085061
760	0.3340255013
761	0.3339582385
762	0.3339240883
763	0.3339108498
764	0.3338940738
765	0.3338508988
766	0.3338259748
767	0.3337805556
768	0.3337312166
769	0.3337207685
770	0.333682848
771	0.3336487051
772	0.3336225086
773	0.333587952
774	0.3335433125
775	0.3335188497
776	0.3334719553
777	0.3334571158
778	0.3334438332
779	0.333397405
780	0.3333662663
781	0.3333365654
782	0.3333074677
783	0.3332595407
784	0.3332065764
785	0.3331804572
786	0.333151583
787	0.3331278814
788	0.3331034462
789	0.3330510482
790	0.3330043578
791	0.3329655955
792	0.3329394135
793	0.3329120457
794	0.3328667698
795	0.3328209677
796	0.3327700729
797	0.3327305731
798	0.3326836109
799	0.3326577651
800	0.3326168584
801	0.3325906772
802	0.3325637479
803	0.3325275959
804	0.3324758796
805	0.3324321923
806	0.3323998244
807	0.3323803388
808	0.3323504353
809	0.332297656
810	0.3322505889
811	0.3322305697
812	0.3321807055
813	0.3321467473
814	0.3320980857
815	0.3320655224
816	0.3320326808
817	0.3320050958
818	0.331970667
819	0.331932346
820	0.3319018303
821	0.3318585378
822	0.3318141006
823	0.3317795645
824	0.3317460583
825	0.3316921143
826	0.3316315732
827	0.3315730782
828	0.3315147059
829	0.3314851076
830	0.331452152
831	0.3313904638
832	0.3313569082
833	0.3313064512
834	0.3312944047
835	0.331256634
836	0.331201409
837	0.3311643661
838	0.3311322178
839	0.3310707753
840	0.3310254974
841	0.3309956175
842	0.3309397063
843	0.3308997959
844	0.3308595848
845	0.3308187549
846	0.3307903445
847	0.3307352324
848	0.3306994303
849	0.330657183
850	0.3306158423
851	0.3305716434
852	0.3305223455
853	0.3304631108
854	0.3304167826
855	0.3303792485
856	0.3303558759
857	0.3303280155
858	0.3302976483
859	0.3302614752
860	0.330252897
861	0.3302158209
862	0.3301973636
863	0.3301776645
864	0.3301574702
865	0.3301300858
866	0.3300925175
867	0.330082164
868	0.3300619114
869	0.3300287002
870	0.3300125175
871	0.3299573511
872	0.3299156592
873	0.3298896916
874	0.329826585
875	0.3297884452
876	0.329756846
877	0.3296878723
878	0.3296316653
879	0.3295898924
880	0.3295659364
881	0.3295232313
882	0.3294750869
883	0.3294370252
884	0.3294188293
885	0.3293847698
886	0.3293500766
887	0.3293014754
888	0.3292726848
889	0.3292422
890	0.3291899698
891	0.3291708556
892	0.3291395995
893	0.3291087777
894	0.3290645627
895	0.3290501134
896	0.3290189473
897	0.3289669115
898	0.3289308846
899	0.3289171186
900	0.3288966194
901	0.3288328746
902	0.328784818
903	0.328734459
904	0.3287026475
905	0.32867495
906	0.3286288418
907	0.3285940606
908	0.3285381607
909	0.3284808149
910	0.3284336376
911	0.3284065769
912	0.3283505096
913	0.3283270698
914	0.3282915462
915	0.3282707743
916	0.3282303485
917	0.3281978124
918	0.3281548193
919	0.3281091119
920	0.3280797826
921	0.3280696063
922	0.3280407688
923	0.3280054668
924	0.3279471675
925	0.3279106728
926	0.3278681858
927	0.3278454972
928	0.3277973715
929	0.3277332994
930	0.3277104069
931	0.3276768543
932	0.3276333666
933	0.3276045153
934	0.3275666773
935	0.3275431797
936	0.3275154359
937	0.3274665527
938	0.3274499511
939	0.3274004102
940	0.327384724
941	0.3273425235
942	0.3273034594
943	0.3272560342
944	0.3272250746
945	0.3271863961
946	0.3271587775
947	0.3271316084
948	0.3271016219
949	0.3270654723
950	0.3270377871
951	0.3269987621
952	0.3269684955
953	0.3269025913
954	0.3268711035
955	0.3268142318
956	0.3267779367
957	0.3267444488
958	0.3266970993
959	0.326672559
960	0.3266226555
961	0.3265703981
962	0.326537444
963	0.3265038439
964	0.3264722605
965	0.32643163
966	0.3264223773
967	0.3263937221
968	0.3263385917
969	0.3263202074
970	0.3262941107
971	0.3262527968
972	0.3261843556
973	0.3261413848
974	0.3261028732
975	0.3260813121
976	0.3260615431
977	0.326028646
978	0.325996205
979	0.3259563768
980	0.3259065212
981	0.3258826899
982	0.32583272
983	0.325813527
984	0.3257901544
985	0.3257562767
986	0.3257213942
987	0.3256821781
988	0.3256617609
989	0.3256307569
990	0.325592796
991	0.3255570985
992	0.3255223449
993	0.3254733536
994	0.3254436156
995	0.3254092219
996	0.3253607297
997	0.3253051332
998	0.3252496304
999	0.3252079571
